precio_usd,fecha,nuevos_usuarios,volumen_depositos_usd,retorno_diario
67387.66168189244,2026-04-04,152,52590.41,0.0
67305.53270568071,2026-04-05,485,54862.98,-0.0012187539107592071
67194.73102381348,2026-04-05,485,54862.98,-0.0016462492370687976
67097.64999707985,2026-04-05,485,54862.98,-0.0014447714166639924
67159.48840990113,2026-04-05,485,54862.98,0.0009216181613509455
67116.68074067455,2026-04-05,485,54862.98,-0.000637403146451998
67088.16878284267,2026-04-05,485,54862.98,-0.0004248117981586752
66898.91046104902,2026-04-05,485,54862.98,-0.0028210387200500175
66834.55616852113,2026-04-05,485,54862.98,-0.000961963238031438
66795.06711340805,2026-04-05,485,54862.98,-0.0005908478693792407
66850.23917647275,2026-04-05,485,54862.98,0.0008259900835345668
66905.41123953745,2026-04-05,485,54862.98,0.0008253083869911304
67283.50017521076,2026-04-05,485,54862.98,0.005651096505776776
67187.35275626543,2026-04-05,485,54862.98,-0.0014289895545706033
67332.04972364994,2026-04-05,485,54862.98,0.002153634001765381
67359.54022197741,2026-04-05,485,54862.98,0.00040828251093349976
67312.40029436244,2026-04-05,485,54862.98,-0.000699825554919653
67618.85865651761,2026-04-05,485,54862.98,0.004552777212148307
67524.98600017147,2026-04-05,485,54862.98,-0.0013882614733706777
68319.43753253935,2026-04-05,485,54862.98,0.011765297254054286
68985.52642694542,2026-04-06,398,61187.89,0.009749624974427329
69083.92977430127,2026-04-06,398,61187.89,0.0014264346806145412
68800.40695728877,2026-04-06,398,61187.89,-0.004104034294788672
69227.82786574122,2026-04-06,398,61187.89,0.006212476456974869
69064.09289025438,2026-04-06,398,61187.89,-0.0023651612441802916
69116.69442689166,2026-04-06,398,61187.89,0.0007616336425479986
69171.24699553306,2026-04-06,398,61187.89,0.0007892820843611315
68966.1397153888,2026-04-06,398,61187.89,-0.0029652100988942776
69085.18372122863,2026-04-06,398,61187.89,0.0017261225049149953
69233.4136963385,2026-04-06,398,61187.89,0.002145611651088508
69734.14395438247,2026-04-06,398,61187.89,0.007232494128343925
69729.51473053802,2026-04-06,398,61187.89,-6.638389147606283e-05
69600.5179200479,2026-04-06,398,61187.89,-0.0018499599629886454
69352.92735076058,2026-04-06,398,61187.89,-0.0035573092943321782
69373.69205341725,2026-04-06,398,61187.89,0.00029940628968194716
69667.13541738002,2026-04-06,398,61187.89,0.004229894002712342
69929.83872890126,2026-04-06,398,61187.89,0.0037708355589385345
69841.20001007705,2026-04-06,398,61187.89,-0.0012675378698903117
69564.81342982552,2026-04-06,398,61187.89,-0.003957357264933292
69878.68104808578,2026-04-06,398,61187.89,0.004511873212696527
69717.8937360636,2026-04-06,398,61187.89,-0.0023009494399519603
69831.8001596643,2026-04-06,398,61187.89,0.0016338190598803592
69517.64005572062,2026-04-06,398,61187.89,-0.004498811475937559
68899.60245420209,2026-04-06,398,61187.89,-0.008890370861599384
68864.23452757328,2026-04-07,320,22451.25,-0.0005133255544155224
68832.75094748284,2026-04-07,320,22451.25,-0.0004571833304534145
68427.09873546906,2026-04-07,320,22451.25,-0.005893302336896
68663.74447668072,2026-04-07,320,22451.25,0.003458362923240532
68751.88746717676,2026-04-07,320,22451.25,0.0012836904128636917
68851.31995374622,2026-04-07,320,22451.25,0.00144625100826401
68619.33116054142,2026-04-07,320,22451.25,-0.0033694167862090563
68567.66396182259,2026-04-07,320,22451.25,-0.0007529539831560017
68623.99620612123,2026-04-07,320,22451.25,0.0008215569999585615
68946.09680366235,2026-04-07,320,22451.25,0.0046937021355277775
69141.14072015522,2026-04-07,320,22451.25,0.0028289334064595106
68229.74780513061,2026-04-07,320,22451.25,-0.01318162971469361
68354.49021829801,2026-04-07,320,22451.25,0.0018282701780414357
68410.07652754907,2026-04-07,320,22451.25,0.0008132064049273247
68261.13224800787,2026-04-07,320,22451.25,-0.0021772272025046835
67946.5734483157,2026-04-07,320,22451.25,-0.004608168504285914
68143.49762077775,2026-04-07,320,22451.25,0.0028982208000796206
68212.47656909314,2026-04-07,320,22451.25,0.0010122601674962262
68696.07855831205,2026-04-07,320,22451.25,0.007089641273016367
68422.4839048095,2026-04-07,320,22451.25,-0.003982682261408965
68980.0719686061,2026-04-07,320,22451.25,0.008149193539543687
69283.45294227805,2026-04-07,320,22451.25,0.004398095928488166
69902.9648185693,2026-04-07,320,22451.25,0.00894170036252917
71406.79268018887,2026-04-07,320,22451.25,0.021513076956359622
71975.62171045873,2026-04-08,156,58466.96,0.007966035287672035
71675.99566085906,2026-04-08,156,58466.96,-0.004162882410449931
71455.72565809466,2026-04-08,156,58466.96,-0.003073134886142803
71319.15990521638,2026-04-08,156,58466.96,-0.0019111939822950008
71288.57608171008,2026-04-08,156,58466.96,-0.00042883039490293484
71588.90550886675,2026-04-08,156,58466.96,0.004212868928850977
71715.30467887901,2026-04-08,156,58466.96,0.0017656251218507446
71716.33126607565,2026-04-08,156,58466.96,1.4314757515565546e-05
71607.85137669035,2026-04-08,156,58466.96,-0.0015126246347269001
71769.45685444491,2026-04-08,156,58466.96,0.0022568122719455186
71684.51069741158,2026-04-08,156,58466.96,-0.0011835976020497796
71500.27882941788,2026-04-08,156,58466.96,-0.002570037323284091
71677.1185370044,2026-04-08,156,58466.96,0.002473272978535057
72088.64825915922,2026-04-08,156,58466.96,0.00574143786126613
71595.26553578468,2026-04-08,156,58466.96,-0.006844111178237466
70839.24039381472,2026-04-08,156,58466.96,-0.010559708610789142
71300.97902964945,2026-04-08,156,58466.96,0.006518119523413857
71616.877152209,2026-04-08,156,58466.96,0.004430487867890021
71892.24518699429,2026-04-08,156,58466.96,0.0038450159478478074
71229.56326243738,2026-04-08,156,58466.96,-0.009217710795277667
71305.21033797062,2026-04-08,156,58466.96,0.001062017960920647
71362.71539046324,2026-04-08,156,58466.96,0.0008064635420057531
71530.37434625559,2026-04-08,156,58466.96,0.0023493914837040553
71084.7379943279,2026-04-08,156,58466.96,-0.006230029634271328
71117.07713411814,2026-04-09,121,50382.51,0.00045493787700001675
70845.22545982263,2026-04-09,121,50382.51,-0.003822593464897772
70922.75282918435,2026-04-09,121,50382.51,0.001094320313874686
71068.58019162083,2026-04-09,121,50382.51,0.0020561435733847944
70981.6288101902,2026-04-09,121,50382.51,-0.0012234855571362502
70799.60700836459,2026-04-09,121,50382.51,-0.002564350873271004
70965.48437451581,2026-04-09,121,50382.51,0.0023429136567330033
71016.5630113181,2026-04-09,121,50382.51,0.0007197673242489433
70978.52324259015,2026-04-09,121,50382.51,-0.0005356464339436595
71246.89042396861,2026-04-09,121,50382.51,0.003780963157844708
71507.87481912013,2026-04-09,121,50382.51,0.0036630987485697375
71300.96039707496,2026-04-09,121,50382.51,-0.0028935893084302
71155.21114397157,2026-04-09,121,50382.51,-0.0020441415135464824
71276.76446761427,2026-04-09,121,50382.51,0.0017082842098066209
70785.05000466589,2026-04-09,121,50382.51,-0.006898664194722293
